Time,fi-1001-pv,fc-1011-pv,fc-1012-pv,fc-1002-pv,ti-1001-pv,ti-1011-pv,ti-1012-pv,ti-1013-pv,ti-1014-pv,ti-1015-pv,ti-1016-pv,ti-1021-pv,ti-1022-pv,ti-1023-pv,ti-1024-pv,ti-1025-pv,ti-1026-pv,tc-1002-pv,ai-1001-pv,ai-1002-pv,ai-1010-pv,pi-1050-pv,pi-1002-pv,pc-1611-pv
131,1291.40,646.75,650.62,1553.38,69.74,439.41,836.15,841.33,845.39,855.14,861.79,442.05,833.92,839.98,843.92,854.38,862.04,440.7356774,1.54,15.46,929.18,-187.52,81.75,107.90
132,1300.48,648.01,651.66,1555.27,71.75,438.81,835.67,841.68,848.90,852.91,863.30,440.73,833.45,840.33,844.70,850.68,861.30,439.7712428,1.52,13.94,937.87,-192.25,82.22,106.74
133,1301.43,647.25,646.09,1558.42,68.73,438.46,836.17,838.03,843.72,853.95,862.91,439.96,833.98,841.17,843.10,851.11,860.92,439.2117018,1.43,15.83,922.62,-192.60,82.25,107.34
134,1302.87,654.40,653.33,1556.49,70.19,437.92,833.35,838.07,844.61,853.15,862.58,442.08,836.94,840.02,844.27,853.38,863.10,439.9995756,1.57,15.56,922.92,-187.93,81.81,107.95
135,1292.32,652.35,651.14,1564.76,69.14,441.07,834.47,839.08,848.20,851.34,862.04,442.61,836.98,840.71,845.50,853.88,862.91,441.8418082,1.43,13.91,939.78,-189.62,82.02,108.81
136,1301.69,648.11,650.89,1558.83,68.34,442.24,835.04,840.50,848.36,851.70,860.86,439.10,833.06,840.47,843.76,855.47,862.48,440.6674996,1.43,16.42,935.60,-187.62,82.48,107.59
137,1300.01,651.85,648.08,1557.05,69.73,439.29,833.46,841.99,845.46,855.37,860.74,438.40,833.11,840.92,844.30,855.35,863.36,438.8491581,1.54,15.98,934.56,-191.49,81.69,109.09
138,1297.07,649.66,649.66,1552.99,68.68,437.32,834.83,838.54,845.95,852.08,862.59,440.98,832.66,840.70,848.81,855.49,860.61,439.1497333,1.53,14.85,922.24,-193.12,82.27,107.87
139,1292.64,647.19,651.95,1559.94,70.96,437.07,833.33,841.52,847.03,852.21,862.16,442.43,835.40,839.04,848.78,853.38,862.96,439.764334,1.38,14.39,924.17,-192.90,82.45,109.19
140,1293.48,645.79,649.25,1554.74,70.85,439.33,835.28,839.59,843.58,853.05,861.24,439.10,835.45,841.70,844.12,854.83,862.42,439.2101132,1.43,13.70,924.58,-185.30,82.37,108.84
141,1290.60,654.49,654.69,1565.18,69.55,437.69,835.12,841.20,846.40,851.03,862.36,439.93,833.60,838.66,845.89,850.52,862.47,438.8089528,1.40,13.80,931.29,-190.65,82.31,107.67
142,1293.83,649.78,649.77,1560.17,71.21,439.97,834.69,838.68,843.88,850.91,860.51,438.62,836.49,840.15,845.48,852.11,861.12,439.2962682,1.46,14.76,938.00,-187.62,82.21,107.40
143,1295.48,646.14,647.47,1557.38,68.08,437.73,837.11,841.57,846.72,852.73,861.28,440.01,833.56,839.66,843.69,851.09,860.68,438.8681488,1.52,14.42,932.16,-190.60,82.07,107.75
144,1294.87,648.65,646.39,1566.67,70.42,437.34,832.70,840.02,844.91,851.03,863.00,438.28,835.22,840.48,848.62,854.11,862.16,437.8089337,1.54,15.47,924.05,-186.32,82.00,107.57
145,1300.32,654.18,649.85,1555.97,68.41,442.02,834.12,840.28,844.30,853.78,862.46,439.82,836.76,839.45,845.26,854.32,860.61,440.9236271,1.60,15.50,937.41,-189.01,81.84,108.65
146,1307.50,648.53,654.86,1562.84,69.79,439.16,837.44,840.92,843.27,851.15,862.96,441.22,834.52,838.09,846.44,852.46,861.72,440.1908793,1.42,16.19,935.93,-187.56,82.38,108.72
147,1309.49,650.86,647.63,1563.72,71.10,437.74,836.48,838.81,844.25,854.86,861.49,441.77,835.35,838.44,848.21,851.62,862.90,439.7505934,1.57,15.72,923.69,-186.22,82.47,108.57
148,1306.62,652.63,645.19,1558.18,68.50,437.68,832.86,840.92,847.33,854.19,863.26,438.64,836.75,840.81,844.58,851.54,861.94,438.1558883,1.60,15.54,935.01,-187.71,82.04,108.65
149,1309.24,647.32,646.59,1552.99,69.12,439.36,834.60,841.83,846.05,853.35,863.50,442.93,832.97,839.51,843.06,853.69,863.45,441.1477341,1.43,13.64,936.57,-186.33,81.74,108.66
150,1291.87,648.55,652.84,1559.40,71.19,439.39,835.73,840.70,845.97,852.58,861.34,440.57,837.00,839.20,844.76,854.97,862.05,439.9774423,1.43,16.33,933.15,-194.05,82.18,107.93
151,1290.62,649.49,649.50,1563.21,68.42,441.14,833.49,839.13,846.85,852.21,862.93,440.10,834.43,841.30,847.94,855.03,862.45,440.6196388,1.50,16.07,929.56,-191.17,81.88,108.92
152,1297.11,646.64,646.82,1560.21,70.02,440.62,834.60,839.96,848.97,850.57,861.32,439.00,834.06,838.99,847.03,852.34,860.51,439.8061205,1.54,16.49,926.08,-191.31,81.59,108.27
153,1306.94,647.93,648.43,1565.53,68.79,438.06,835.22,840.32,848.52,854.16,860.65,442.47,833.22,838.68,848.70,854.66,860.63,440.2664064,1.64,14.30,928.96,-192.60,81.83,109.05
154,1290.01,646.35,652.83,1552.73,69.88,437.22,834.03,840.47,849.00,850.50,861.83,441.39,835.30,838.23,846.83,852.26,862.30,439.3199462,1.63,14.45,932.78,-190.85,81.92,106.79
155,1306.96,653.08,651.61,1564.38,68.19,440.33,836.23,841.50,848.25,851.88,862.26,440.21,837.02,838.25,845.42,853.38,860.86,440.2705084,1.50,13.73,938.80,-189.54,81.93,108.14
156,1303.01,650.17,652.33,1559.61,70.08,438.87,834.71,841.45,847.30,852.64,861.56,439.57,836.36,838.04,844.26,850.77,860.77,439.2211244,1.52,13.72,937.69,-194.78,81.67,108.39
157,1300.56,645.73,648.78,1559.56,69.32,441.27,834.23,841.01,848.60,854.51,860.96,437.11,834.16,841.97,848.49,852.17,861.19,439.1881533,1.60,15.43,936.21,-185.67,82.20,107.80
158,1295.60,646.56,650.73,1554.94,71.42,437.74,834.84,840.01,844.06,851.18,862.76,440.75,835.13,839.47,846.04,854.45,863.11,439.2527786,1.59,15.65,923.43,-190.00,82.26,107.24
159,1305.18,652.95,645.27,1566.58,68.10,438.92,834.13,841.05,847.17,852.11,861.79,437.84,833.47,840.05,844.80,852.90,861.75,438.3868002,1.43,16.32,931.71,-192.48,81.82,107.33
160,1300.62,645.20,651.18,1556.65,69.35,441.98,836.54,841.92,845.93,851.85,861.58,437.27,832.96,841.73,844.16,850.53,862.68,439.6133574,1.64,16.42,923.14,-189.51,82.33,107.14
161,1305.00,651.02,653.94,1554.13,69.37,440.00,833.52,839.57,847.70,851.60,862.35,440.94,833.38,840.02,848.79,852.60,862.15,440.4713351,1.54,15.65,933.95,-188.07,81.91,107.40
162,1294.71,650.23,646.23,1563.05,68.15,438.42,836.57,841.07,845.46,854.62,863.09,441.26,834.11,839.09,843.50,852.94,860.75,439.8370405,1.45,14.17,922.61,-194.73,81.89,108.03
163,1303.46,651.14,651.91,1556.63,69.53,438.97,833.73,839.18,844.64,853.23,860.61,442.97,833.46,838.51,843.15,854.19,860.60,440.9701873,1.55,14.13,935.41,-191.28,81.60,106.88
164,1306.23,650.18,647.01,1554.87,68.60,440.37,836.26,841.20,847.42,853.06,861.40,437.48,832.53,841.89,845.18,851.19,860.95,438.9279724,1.55,13.84,936.28,-193.30,82.46,108.11
165,1300.31,646.77,651.86,1552.80,70.11,442.81,833.56,841.86,847.81,853.36,862.87,439.62,836.16,839.04,844.12,854.10,861.88,441.2044218,1.43,14.36,923.81,-190.40,81.83,108.95
166,1299.08,648.80,652.90,1564.53,68.96,439.96,835.25,841.54,845.54,853.61,863.20,438.49,832.67,840.22,846.26,855.47,863.41,439.2225105,1.63,15.35,936.79,-185.65,82.04,108.50
167,1305.49,651.92,654.03,1561.66,69.71,440.46,834.34,838.16,845.32,852.01,861.56,438.38,835.46,838.17,844.01,854.15,861.94,439.4157446,1.39,14.37,921.14,-188.45,82.47,107.95
168,1307.39,649.59,654.43,1552.91,71.27,441.52,834.85,841.95,847.45,852.10,860.65,440.01,833.79,838.36,848.41,853.69,861.49,440.7619947,1.53,15.93,928.90,-185.60,81.92,107.12
169,1297.31,645.65,647.44,1557.72,71.22,437.37,836.19,838.82,847.65,851.14,860.76,437.01,834.80,840.56,847.08,852.42,861.66,437.1890337,1.54,14.33,930.88,-191.24,82.04,108.51
170,1302.68,646.81,654.10,1564.07,68.83,441.78,835.40,838.77,844.95,851.62,862.30,438.61,832.54,839.13,845.63,850.64,862.05,440.1876668,1.56,14.57,923.97,-189.12,82.10,109.12
171,1305.25,648.34,653.95,1554.01,69.68,439.51,832.54,838.49,844.77,853.42,861.12,439.75,833.80,841.48,845.16,853.13,861.33,439.6309695,1.39,15.28,934.73,-191.74,82.03,106.80
172,1290.84,653.87,647.82,1557.43,71.75,441.52,836.16,839.09,845.96,851.84,861.03,442.39,833.97,841.37,844.03,850.92,862.59,441.9518983,1.64,15.89,933.77,-193.29,82.49,107.71
173,1294.67,649.44,648.82,1564.28,68.51,438.93,836.36,841.54,843.73,854.39,861.01,440.72,835.75,840.15,843.08,854.94,861.21,439.8258014,1.45,15.75,935.92,-188.10,81.62,108.36
174,1296.04,654.58,651.93,1565.47,68.98,442.35,837.12,841.17,845.99,854.02,863.22,440.93,836.64,841.63,848.12,855.33,863.20,441.6392064,1.40,15.81,936.71,-187.58,82.37,108.97
175,1294.12,647.47,650.77,1565.82,69.69,439.96,832.79,839.39,843.93,851.15,863.12,439.45,833.70,841.37,843.55,853.68,861.10,439.7039953,1.44,14.42,929.41,-188.74,82.36,106.79
176,1309.23,649.46,648.08,1563.35,71.83,440.86,833.97,841.02,846.68,855.07,860.92,442.19,834.28,841.18,845.55,853.16,861.81,441.5253235,1.39,13.67,920.48,-185.74,82.37,107.77
177,1298.83,648.33,650.95,1554.17,71.45,439.29,837.03,840.72,845.76,854.34,862.72,441.64,835.20,841.64,848.79,852.04,860.78,440.4636745,1.36,14.10,937.54,-185.00,82.18,107.17
178,1302.61,647.34,645.57,1564.06,68.33,442.88,832.59,840.38,843.74,854.88,861.38,440.61,835.90,840.16,847.30,854.79,861.74,441.7487469,1.61,15.88,927.34,-191.97,81.87,108.42
179,1301.56,647.17,645.30,1567.05,69.98,438.28,833.45,838.70,845.76,850.82,861.33,442.61,836.29,840.27,844.87,854.69,863.26,440.4419511,1.61,15.83,933.28,-188.98,81.88,109.21
180,1304.24,653.43,645.62,1557.64,70.10,442.76,834.18,838.26,843.54,850.58,862.77,440.09,832.52,839.16,846.99,851.96,862.91,441.434668,1.52,14.99,922.51,-190.24,82.09,108.10
181,1307.34,646.69,646.19,1553.03,71.11,439.77,832.86,839.63,843.00,854.43,862.54,438.92,835.38,840.16,843.81,851.13,862.79,439.3483555,1.47,15.38,938.83,-186.21,81.74,106.91
182,1309.41,648.46,645.98,1564.77,71.38,440.94,835.37,841.16,844.94,853.55,862.76,442.83,834.22,840.69,848.66,855.39,863.03,441.8800143,1.57,14.62,934.82,-192.85,81.53,107.67
183,1293.43,651.26,650.83,1559.99,71.47,440.26,835.17,841.58,843.52,854.08,862.67,439.13,832.90,841.58,846.66,854.47,861.02,439.6918607,1.40,16.05,923.24,-185.37,81.87,108.24
184,1307.28,648.96,652.23,1560.37,68.44,437.88,835.14,838.87,844.88,855.35,861.60,442.51,834.81,841.73,848.58,855.25,862.42,440.2009555,1.58,16.30,938.72,-193.28,82.19,109.09
185,1298.81,647.00,652.65,1553.07,69.29,437.94,834.72,838.51,843.16,852.53,861.99,437.77,833.82,840.71,847.53,852.59,862.85,437.8574499,1.44,14.82,932.31,-186.35,81.95,108.04
186,1292.86,651.91,647.80,1562.20,69.26,442.50,836.20,841.10,847.79,853.22,862.47,441.35,836.49,840.57,848.51,853.23,861.01,441.9283116,1.63,15.15,926.24,-194.78,82.37,108.66
187,1309.86,651.40,652.61,1566.65,68.46,438.46,833.06,838.45,846.36,853.51,861.04,442.27,836.05,839.79,843.13,854.49,861.78,440.3708255,1.59,14.60,925.77,-188.43,81.92,108.55
188,1302.39,650.17,652.76,1559.03,68.25,441.90,836.20,838.64,844.38,852.65,861.46,441.63,833.91,841.08,848.50,853.07,860.53,441.7670101,1.46,15.19,928.75,-191.17,82.17,107.53
189,1304.49,653.11,651.02,1563.31,68.69,443.00,835.88,839.50,845.23,854.65,860.84,442.50,835.95,839.30,843.58,852.82,862.62,442.7473827,1.40,14.86,922.35,-194.26,81.87,109.29
190,1293.08,654.05,654.70,1559.77,71.00,439.78,834.74,839.96,845.72,852.06,863.36,440.94,836.99,839.59,843.66,851.97,862.62,440.357537,1.46,13.90,921.25,-188.48,81.78,108.87
191,1305.07,653.20,651.74,1557.93,69.52,438.28,834.96,839.85,848.46,855.17,862.11,441.34,832.56,841.41,843.91,854.31,862.95,439.8080712,1.53,15.90,929.29,-189.30,82.42,108.06
192,1299.35,648.54,645.02,1564.71,68.12,439.78,836.36,839.24,847.23,851.78,861.29,438.59,836.91,838.71,848.42,852.60,861.59,439.1859564,1.42,13.63,932.49,-185.99,81.94,108.91
193,1301.20,654.05,654.98,1567.31,68.47,438.35,835.06,841.08,843.04,853.06,860.69,442.77,833.22,838.44,843.48,852.95,861.93,440.5620483,1.56,14.34,937.82,-190.84,82.19,108.57
194,1293.53,649.84,649.53,1555.56,70.83,441.75,833.29,839.43,847.29,854.28,860.82,439.48,836.10,839.64,848.07,855.03,862.20,440.6152763,1.54,16.42,933.93,-186.91,82.12,109.19
195,1308.36,645.55,648.15,1557.50,71.59,441.99,833.13,838.02,845.47,852.36,860.72,442.55,837.01,841.20,844.37,852.99,861.78,442.2690462,1.43,14.73,931.17,-194.74,81.59,108.09
196,1294.48,654.23,652.96,1567.13,70.59,441.46,836.15,841.26,848.58,852.46,862.41,442.65,834.35,838.22,848.93,854.05,863.09,442.0571588,1.65,16.27,936.77,-185.29,81.69,108.01
197,1301.18,653.80,654.07,1562.18,68.97,439.06,837.32,838.36,847.47,852.13,860.81,439.53,835.61,841.52,846.31,854.35,863.30,439.2940572,1.62,13.93,922.81,-194.35,82.11,108.47
198,1294.59,646.56,651.20,1559.18,68.09,439.76,837.13,839.55,843.86,853.65,862.48,441.71,834.12,841.64,844.90,852.74,862.91,440.7379662,1.44,16.26,927.69,-189.39,82.17,107.37
199,1309.09,645.18,649.18,1556.96,70.30,441.83,833.56,838.37,846.20,854.67,861.84,442.96,835.97,841.06,847.17,850.56,860.77,442.4003744,1.49,15.17,920.74,-193.95,81.89,107.69
200,1305.98,649.80,645.29,1565.20,71.34,437.70,832.63,839.72,843.23,852.21,861.96,440.72,836.50,838.95,843.44,851.86,862.03,439.2042543,1.38,16.18,924.30,-190.16,82.22,109.12
201,1309.20,654.82,652.92,1555.65,68.80,441.50,833.33,838.06,848.27,852.12,862.54,442.30,833.43,841.50,847.36,853.74,863.08,441.8995983,1.35,14.83,920.15,-194.37,81.62,107.70
202,1304.67,652.43,651.49,1555.99,71.55,440.14,834.34,838.70,848.01,851.26,861.28,439.64,834.04,840.10,843.02,853.30,862.88,439.8868747,1.36,14.18,939.05,-189.79,81.85,107.44
203,1304.56,648.80,651.63,1555.85,69.85,440.23,834.54,839.79,843.11,853.70,862.62,442.78,834.07,839.51,845.20,853.54,861.70,441.5056828,1.55,13.61,926.47,-185.25,81.64,107.74
204,1297.28,654.11,650.75,1565.36,71.21,438.92,836.94,839.69,843.55,854.04,862.98,437.64,832.81,839.74,845.50,852.86,861.03,438.279496,1.41,13.60,938.94,-188.56,82.09,106.95
205,1291.44,648.13,647.48,1558.90,69.35,438.41,833.43,838.67,847.49,855.44,861.59,439.61,835.02,839.03,845.21,853.39,862.18,439.0116757,1.63,14.58,928.98,-190.57,81.93,106.95
206,1308.18,649.88,654.47,1562.26,69.72,438.79,834.62,838.46,847.35,852.26,860.65,441.07,833.55,840.43,844.72,855.27,862.95,439.9300611,1.61,14.50,939.73,-189.73,82.09,107.30
207,1307.95,649.78,647.59,1562.66,71.76,442.87,834.01,840.16,847.68,850.87,860.99,439.16,833.36,838.94,844.40,851.69,861.45,441.020142,1.63,15.80,922.21,-189.07,82.35,109.23
208,1307.52,654.61,654.86,1559.88,69.88,442.86,837.07,838.85,844.92,855.44,862.06,441.97,836.41,840.88,846.73,854.78,862.11,442.417041,1.38,13.54,935.08,-192.70,82.21,107.69
209,1291.57,650.16,645.65,1564.36,69.93,442.18,835.78,840.23,843.25,853.34,863.45,439.58,832.72,839.73,844.94,853.06,862.87,440.8803842,1.56,16.38,935.96,-185.36,81.66,106.77
210,1308.71,646.29,653.30,1552.71,69.95,437.54,833.40,838.06,848.22,852.11,862.04,440.51,833.22,838.91,845.93,853.33,861.25,439.0338537,1.51,15.92,929.98,-187.33,82.43,109.19
211,1300.16,653.50,648.00,1562.98,69.31,440.50,837.00,839.18,848.60,855.11,860.61,441.89,833.09,838.94,847.89,855.08,861.16,441.1894435,1.51,14.80,928.78,-194.22,81.83,108.35
212,1305.53,646.48,651.59,1560.49,69.70,442.02,835.13,838.61,843.05,854.41,862.55,437.39,834.85,839.94,848.04,850.75,863.37,439.6940197,1.52,15.61,937.09,-185.89,81.89,108.44
213,1305.63,649.17,646.55,1556.59,69.37,440.76,836.23,838.50,844.65,852.35,863.20,442.48,837.09,839.84,844.76,852.29,863.44,441.6162085,1.49,13.63,932.14,-190.48,81.89,106.79
214,1290.89,652.37,645.92,1562.00,70.17,438.97,835.89,838.92,848.71,850.60,862.12,441.26,833.09,840.24,843.56,854.18,862.53,440.1083111,1.60,14.21,923.62,-192.24,82.37,107.43
215,1302.11,653.23,645.02,1565.92,71.50,440.43,836.28,840.08,846.95,855.44,862.70,437.27,834.45,839.39,843.65,852.51,862.52,438.8612055,1.38,15.03,923.66,-186.54,81.95,109.00
216,1302.31,645.73,651.86,1552.92,69.72,439.00,835.15,840.32,848.78,851.68,862.77,439.37,836.89,840.83,846.26,853.88,863.30,439.188308,1.52,16.41,922.20,-192.10,82.18,108.52
217,1291.24,650.62,650.60,1560.61,70.20,437.10,834.79,839.70,846.38,850.88,860.72,438.91,837.30,840.96,845.08,853.23,861.18,438.0049166,1.51,14.39,935.19,-188.44,82.16,108.33
218,1291.56,652.11,646.51,1564.46,69.48,440.09,834.56,839.15,847.70,854.23,863.30,441.40,837.43,841.38,844.64,854.74,861.95,440.7415528,1.42,14.82,926.17,-185.65,81.52,109.23
219,1304.22,654.23,649.80,1560.13,69.80,439.28,834.16,838.83,847.94,855.14,861.53,442.32,834.96,838.38,845.52,850.65,861.72,440.7966304,1.56,16.47,926.73,-193.87,82.49,106.87
220,1301.29,647.18,654.14,1561.17,71.12,441.37,837.03,841.98,845.96,853.06,862.62,439.91,835.63,841.36,847.25,852.36,860.78,440.6317029,1.49,14.77,931.89,-187.13,82.18,107.42
221,1303.14,651.71,646.95,1563.26,70.36,437.61,833.18,838.45,846.84,855.16,861.84,437.38,836.34,838.60,848.77,850.86,861.77,437.4952385,1.45,14.22,924.30,-186.08,81.88,109.05
222,1303.02,653.56,652.85,1559.91,70.29,438.79,835.23,840.81,844.21,851.66,862.73,437.11,834.65,841.24,846.87,851.37,861.61,437.9489079,1.62,13.91,927.46,-189.55,82.40,107.15
223,1291.97,650.03,647.01,1554.95,71.69,441.40,837.24,840.07,845.78,852.03,862.64,440.47,834.92,840.22,846.19,854.87,862.98,440.9350543,1.38,14.66,924.27,-193.94,82.31,108.82
224,1291.54,646.85,653.31,1555.08,71.97,438.08,834.46,839.61,844.87,852.13,861.21,441.61,833.40,838.75,848.58,855.37,862.36,439.8576156,1.48,16.04,934.02,-187.02,81.54,107.90
225,1300.71,653.08,647.65,1567.34,71.75,440.77,834.00,840.59,846.32,851.03,862.47,442.68,833.00,841.76,848.30,851.61,862.40,441.7217575,1.58,15.82,935.65,-191.17,82.03,108.49
226,1307.48,650.29,646.46,1553.72,70.07,437.49,833.37,841.63,843.72,852.23,861.98,442.02,836.02,839.26,845.60,851.28,863.08,439.7468844,1.64,16.20,923.60,-185.72,82.15,106.79
227,1301.49,647.46,651.19,1566.38,70.01,437.49,832.78,840.43,848.86,852.58,862.90,440.99,835.89,839.36,846.96,851.18,860.74,439.2436173,1.56,14.92,929.75,-187.88,82.44,106.98
228,1296.99,652.17,649.69,1552.75,70.60,437.29,836.35,838.28,848.75,850.54,863.46,441.90,836.93,841.94,847.55,852.95,862.85,439.5888489,1.59,16.33,936.29,-191.96,81.58,106.96
229,1298.20,654.98,645.82,1560.53,70.53,440.30,835.75,840.71,843.67,855.03,863.12,438.86,835.41,838.95,846.52,853.59,861.86,439.5881739,1.60,15.24,928.25,-193.48,82.37,109.22
230,1295.70,648.33,654.10,1563.45,70.29,439.50,837.12,839.35,848.99,853.88,861.32,438.36,836.76,839.11,843.47,855.20,863.37,438.9270632,1.53,15.76,922.17,-192.02,81.65,108.03
231,1307.76,646.18,651.93,1567.50,68.53,439.25,833.33,841.79,843.42,851.68,861.02,442.02,835.60,839.84,844.83,853.29,863.21,440.6458808,1.59,14.55,929.75,-194.74,82.42,106.70
232,1296.14,650.42,651.58,1567.22,70.30,441.81,835.53,839.74,846.64,850.57,861.56,442.50,835.36,840.63,848.29,851.38,861.73,442.1568748,1.54,15.09,936.51,-189.44,81.51,107.85
233,1292.14,654.79,654.07,1563.81,70.70,439.11,837.03,840.55,844.80,851.52,861.93,442.73,833.23,841.89,848.82,853.98,863.28,440.9229214,1.56,14.96,928.60,-186.24,81.85,108.74
234,1291.80,649.47,646.25,1562.70,68.08,441.21,835.50,839.03,846.19,851.43,861.97,439.06,833.06,838.98,843.01,854.40,862.46,440.1353997,1.40,14.20,939.74,-188.28,81.84,108.65
235,1302.47,652.90,651.59,1564.53,68.02,437.08,835.51,838.84,845.61,853.31,860.98,442.52,832.59,841.01,843.04,855.32,860.99,439.7937674,1.60,15.54,932.60,-186.36,82.22,107.14
236,1300.38,646.09,654.74,1561.51,71.40,437.77,836.09,839.49,848.83,853.10,860.94,437.79,837.29,841.45,847.19,851.42,861.83,437.7831315,1.49,14.74,933.86,-187.68,82.30,107.84
237,1302.07,645.96,654.83,1554.00,68.22,439.63,834.74,840.53,844.46,853.73,862.92,439.85,837.50,838.44,845.66,852.19,862.70,439.7444524,1.52,15.44,920.59,-189.58,81.84,106.80
238,1307.33,649.85,647.95,1555.86,71.44,437.87,834.55,838.64,848.90,851.55,861.04,438.63,836.87,839.80,848.14,851.70,861.67,438.2519818,1.39,14.43,937.53,-186.37,82.16,107.62
239,1305.59,649.63,654.80,1555.35,71.14,440.87,834.16,840.61,844.10,854.30,860.97,438.09,834.54,841.62,848.53,852.99,860.75,439.4763333,1.36,14.49,933.04,-194.25,81.62,108.71
240,1305.61,652.65,653.95,1557.96,70.11,439.95,832.57,840.35,847.76,852.80,862.87,440.75,837.36,841.51,846.30,852.63,860.95,440.3492511,1.39,13.80,924.20,-190.73,82.48,106.75
241,1309.86,654.26,651.12,1561.91,69.87,439.36,832.87,841.97,848.61,851.08,862.64,437.37,836.62,839.47,847.02,853.06,862.23,438.3673396,1.38,13.72,920.55,-193.52,81.51,108.10
242,1291.13,653.29,646.80,1557.04,71.21,441.80,833.91,839.94,846.73,852.55,860.52,442.88,836.81,838.05,844.07,853.09,860.92,442.3361281,1.39,14.06,928.87,-189.27,81.65,107.95
243,1297.80,652.51,649.41,1554.65,71.67,440.45,836.36,838.86,843.52,854.10,861.32,439.54,832.56,841.91,845.99,853.19,861.00,439.995458,1.60,15.85,932.11,-188.84,81.78,107.65
244,1290.06,652.88,650.72,1562.30,68.93,438.12,836.05,838.77,845.71,855.15,860.87,441.90,834.49,838.78,847.41,850.72,861.08,440.0038428,1.51,15.82,923.94,-190.01,82.30,108.44
245,1294.68,649.39,654.85,1560.07,68.36,441.81,833.42,841.24,846.26,851.52,860.79,439.72,835.64,840.92,845.45,854.19,862.33,440.7592147,1.54,16.35,920.18,-193.28,82.20,108.53
246,1298.29,653.05,647.66,1564.04,69.42,440.65,833.83,841.01,843.60,854.08,861.26,440.09,834.74,841.34,843.61,851.87,862.80,440.3703098,1.48,15.76,931.31,-191.14,81.78,106.77
247,1291.75,653.98,651.24,1553.31,69.45,438.17,836.23,839.60,843.09,853.40,860.77,441.51,834.99,840.86,847.94,855.01,861.15,439.8372654,1.47,15.70,930.11,-189.90,82.32,106.76
248,1297.70,647.44,649.56,1562.76,70.48,442.36,834.27,841.36,846.53,855.35,860.83,438.58,833.67,841.14,844.85,851.31,863.34,440.4648462,1.58,13.61,931.90,-186.08,82.31,107.82
249,1291.79,649.91,654.17,1557.90,71.19,441.63,835.03,839.07,843.01,853.30,860.76,440.19,834.48,841.18,843.77,854.25,863.02,440.9056127,1.44,15.40,936.48,-193.47,82.13,108.32
250,1293.23,646.27,653.46,1561.80,68.80,440.78,835.18,839.87,848.33,855.19,861.17,438.03,834.22,839.26,848.10,854.81,863.37,439.3946443,1.39,13.50,922.26,-188.24,81.95,108.85
251,1290.62,651.51,647.59,1564.75,69.12,440.85,836.47,841.42,844.99,854.44,860.56,442.82,834.53,838.81,844.60,852.57,861.74,441.8338681,1.36,16.38,925.02,-186.62,81.85,108.75
252,1301.29,646.48,651.92,1559.20,70.15,441.31,832.81,839.91,845.78,854.64,861.87,442.45,834.30,838.31,847.73,852.23,862.18,441.8809236,1.48,16.18,927.57,-191.19,81.67,107.38
253,1302.54,654.10,653.76,1561.46,68.57,438.09,836.83,839.35,844.61,852.77,862.45,437.00,834.37,839.50,846.88,854.09,862.68,437.544543,1.40,15.14,930.57,-186.36,81.91,107.87
254,1299.47,649.43,647.63,1563.16,71.33,440.46,836.94,840.56,843.56,852.97,862.83,437.17,836.53,839.29,844.07,854.45,863.12,438.8144508,1.47,15.34,928.51,-188.12,82.22,108.94
255,1297.53,654.95,648.74,1556.79,70.53,439.86,836.75,839.29,843.17,852.19,862.75,439.29,834.96,839.16,845.67,854.05,863.01,439.5758141,1.43,15.97,939.12,-187.87,82.38,108.04
256,1304.09,654.97,654.22,1559.21,70.00,440.54,834.57,841.50,844.80,851.97,862.92,441.09,836.89,840.52,848.60,853.49,861.27,440.8142887,1.52,15.99,925.10,-186.49,81.55,109.21
257,1301.56,649.72,646.67,1564.16,70.90,438.41,834.02,838.49,848.02,852.52,862.11,439.47,834.91,840.37,843.79,850.76,862.68,438.9385575,1.51,15.79,930.72,-191.05,81.92,109.17
258,1291.82,653.63,650.64,1563.02,70.63,437.07,834.17,839.03,844.62,854.72,860.76,441.29,836.37,841.78,847.98,852.33,860.50,439.17203,1.62,13.81,920.27,-188.27,82.47,108.71
259,1304.80,651.50,645.33,1560.10,71.03,437.65,835.28,840.15,843.15,853.50,861.58,440.86,835.41,841.81,848.55,853.81,860.51,439.2474292,1.60,16.41,938.11,-191.03,81.76,108.82
260,1297.90,654.96,653.27,1553.53,69.93,437.32,834.99,839.76,846.25,851.75,863.08,441.46,834.87,839.52,846.57,854.79,862.46,439.3859745,1.46,14.20,921.86,-191.59,81.94,107.98
261,1299.15,647.95,648.78,1555.62,70.77,439.52,835.30,838.90,848.89,854.66,861.53,440.72,836.44,841.91,844.26,851.83,863.40,440.1196289,1.57,14.71,928.56,-185.41,81.56,108.18
262,1298.28,645.68,647.90,1559.59,70.90,437.74,833.94,838.51,844.14,851.76,861.42,441.02,835.23,840.89,847.56,854.10,862.78,439.3831169,1.39,13.51,929.26,-194.77,81.71,107.37
263,1303.83,648.37,648.70,1552.77,71.99,438.18,833.42,840.48,844.18,853.09,863.44,440.16,833.28,840.37,845.46,851.88,861.60,439.1692667,1.45,16.37,923.85,-189.19,81.69,107.18
